rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
104	NCT00012818	0.43399322	0	0.43399322		False
105	NCT00005499	0.42918283	0	0.42918283		False
106	NCT00000167	0.41617507	0.0086034034	0.42477847	99	False
107	NCT00005543	0.4206781	0	0.4206781		False
108	NCT00005351	0.42031458	0	0.42031458		False
109	NCT00000546	0.41915202	0	0.41915202		False
110	NCT00005136	0.41875702	0	0.41875702		False
111	NCT00000506	0.41807944	0	0.41807944		False
112	NCT00000369	0.41447562	0	0.41447562		False
113	NCT00000566	0.40913534	0	0.40913534		False
114	NCT00000577	0.40303808	0	0.40303808		False
115	NCT00000155	0.39450663	0.0075810426	0.40208767	100	False
116	NCT00000665	0.39059013	0	0.39059013		False
117	NCT00000673	0.39059013	0	0.39059013		False
118	NCT00000726	0.39059013	0	0.39059013		False
