rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
103	NCT03939962	0.58992755	0.60964123	1.1995688	148	True
104	NCT02703571	0.39585102	0.79912575	1.1949768	69	True
105	NCT04440865	0.3925599	0.79825911	1.190819	71	True
106	NCT03606590	0.62910706	0.55932464	1.1884317	172	True
107	NCT01249430	0.6308227	0.55697427	1.187797	175	True
108	NCT02046538	0.694432	0.49313241	1.1875644	205	True
109	NCT01447589	0.3995052	0.78596824	1.1854734	77	True
110	NCT02211443	0.5875293	0.58975865	1.1772879	157	True
111	NCT05624918	0.39521763	0.77520306	1.1704207	81	True
112	NCT05917431	0.40984935	0.76020002	1.1700494	86	True
113	NCT04803994	0.51020837	0.65893077	1.1691391	124	True
114	NCT05749042	0.4303944	0.73576539	1.1661598	99	True
115	NCT02507804	0.39124098	0.7727835	1.1640245	83	True
116	NCT03940378	0.535718	0.62519826	1.1609163	140	True
117	NCT05433701	0.40400103	0.75668502	1.160686	88	True
118	NCT01486550	0.39304525	0.76397767	1.1570229	84	True
119	NCT01231594	0.41922468	0.73593365	1.1551583	97	True
120	NCT04522323	0.39706415	0.75729234	1.1543565	87	True
121	NCT04940221	0.63351804	0.51469775	1.1482158	196	True
122	NCT06050980	0.5404541	0.60710818	1.1475623	149	True
123	NCT05582499	0.39722097	0.74946667	1.1466876	91	True
124	NCT02069041	0.4049256	0.73990402	1.1448296	95	True
125	NCT02341170	0.4047413	0.73835366	1.143095	96	True
126	NCT04115761	0.5943614	0.54847669	1.1428381	181	True
127	NCT05683704	0.51867974	0.62275867	1.1414384	142	True
128	NCT04098783	0.3940067	0.74637128	1.140378	92	True
129	NCT02753140	0.54745144	0.59266279	1.1401142	155	True
130	NCT02757326	0.65547985	0.48321263	1.1386925	214	True
131	NCT02066285	0.6527485	0.48536288	1.1381114	213	True
132	NCT02565641	0.40479076	0.72860184	1.1333926	101	True
133	NCT06101758	0.79201376	0.34120755	1.1332213	279	True
134	NCT03038477	0.40479076	0.72252407	1.1273148	102	True
135	NCT01752205	0.40799373	0.7163462	1.1243399	105	True
136	NCT05114915	0.54639035	0.57596239	1.1223527	165	True
137	NCT03289819	0.5423051	0.575071	1.1173761	167	True
138	NCT02340949	0.59847504	0.51730208	1.1157771	194	True
139	NCT06297525	0.40310583	0.71167711	1.1147829	106	True
140	NCT04872478	0.426573	0.68786349	1.1144365	113	True
141	NCT05549973	0.5372534	0.57520202	1.1124554	166	True
142	NCT03086642	0.4557351	0.65544801	1.1111831	125	True
143	NCT04141995	0.38919926	0.71662405	1.1058233	104	True
144	NCT03612596	0.40285733	0.69823458	1.1010919	109	True
145	NCT01963429	0.39419174	0.70627033	1.1004621	108	True
146	NCT04582487	0.4057476	0.69349298	1.0992406	111	True
147	NCT01625533	1.0973177	0	1.0973177		True
148	NCT01655992	0.41348034	0.67656165	1.090042	116	True
149	NCT05792735	0.6088938	0.47789627	1.0867901	215	True
150	NCT05923177	0.41201067	0.67334875	1.0853594	117	True
151	NCT00669669	0.52639437	0.55850954	1.0849039	173	True
152	NCT04951947	0.39742398	0.68597102	1.083395	114	True
153	NCT04005365	0.53907466	0.54148338	1.080558	184	True
154	NCT03104543	0.594769	0.48574138	1.0805104	212	True
155	NCT04336982	0.65984917	0.41940363	1.0792528	239	True
156	NCT01468675	0.48374382	0.59399089	1.0777347	154	True
157	NCT04087018	0.5759312	0.50092702	1.0768582	200	True
158	NCT04088786	0.40631455	0.66767527	1.0739898	120	True
159	NCT05761951	0.53561836	0.5367911	1.0724095	187	True
160	NCT03794388	0.50032496	0.57077333	1.0710983	168	True
161	NCT04113863	0.39829808	0.67053877	1.0688369	118	True
162	NCT03291379	0.4054371	0.66334372	1.0687808	123	True
163	NCT05626322	0.40364122	0.66388175	1.067523	122	True
164	NCT04898543	0.5214447	0.54345388	1.0648986	183	True
165	NCT04373031	0.49579	0.56832834	1.0641183	170	True
166	NCT00109265	0.5933186	0.46787224	1.0611908	221	True
167	NCT02611908	0.57143706	0.48666519	1.0581022	211	True
168	NCT04318561	0.4068388	0.6510211	1.0578599	126	True
169	NCT03516500	0.4089775	0.6469014	1.0558789	130	True
170	NCT04810936	0.6044897	0.44829855	1.0527882	228	True
171	NCT02392676	0.4062851	0.64565682	1.0519419	132	True
172	NCT05441254	0.5964739	0.45382785	1.0503017	226	True
173	NCT02523924	0.40281552	0.64732736	1.0501429	129	True
174	NCT05720338	0.44701117	0.60186888	1.04888	152	True
175	NCT03841565	0.5531384	0.49407194	1.0472103	203	True
176	NCT01045889	0.39749083	0.64956432	1.0470552	128	True
177	NCT05435248	0.4046266	0.63904979	1.0436764	134	True
178	NCT05084027	0.41024214	0.63044767	1.0406898	136	True
179	NCT05416775	0.40169695	0.63704711	1.0387441	135	True
180	NCT02284139	0.66512364	0.37139905	1.0365227	264	True
181	NCT02093143	0.40867513	0.62642379	1.0350989	139	True
182	NCT03215030	0.4299531	0.60268215	1.0326352	151	True
183	NCT06166888	0.40310583	0.62681599	1.0299218	138	True
184	NCT05717140	0.42189723	0.6070095	1.0289067	150	True
185	NCT02495233	0.55346316	0.47494396	1.0284071	218	True
186	NCT03493932	0.40123743	0.62306992	1.0243074	141	True
187	NCT04429191	0.4263178	0.59720239	1.0235202	153	True
188	NCT02087475	0.4013411	0.61910415	1.0204453	143	True
189	NCT04770272	0.56766295	0.45003514	1.0176981	227	True
190	NCT00408499	0.57435364	0.44323195	1.0175856	231	True
191	NCT01228942	0.40055093	0.61492065	1.0154716	144	True
192	NL64722.031.18	0.4422847	0.57021139	1.0124961	169	True
193	NCT02905916	0.39951715	0.61245804	1.0119752	146	True
194	NCT04159896	0.5707884	0.44058849	1.0113769	233	True
