nct_id	score
NCT00004809	1.38898
NCT00043628	1.1279519
NCT00001402	1.1125782
NCT00001528	1.0946945
NCT00001628	1.068309
NCT00001886	0.93705237
NCT00001895	0.90027875
NCT00001460	0.8715445
NCT00006071	0.78755814
NCT00001622	0.7044333
NCT00001313	0.6911216
NCT00001742	0.65716934
NCT00005251	0.6235498
NCT00001458	0.61898196
NCT00005536	0.57439387
NCT00001633	0.53878295
NCT00001859	0.5206247
NCT00027287	0.5189701
NCT00006426	0.5046356
NCT00001881	0.43432838
NCT00001400	0.43184248
NCT00005499	0.42918283
NCT00005543	0.4206781
NCT00005351	0.42031458
NCT00005136	0.41875702
NCT00001936	0.4172032
NCT00000642	0.41623193
NCT00006173	0.40787184
NCT00011258	0.40733355
NCT00000567	0.4061892
NCT00000570	0.40605158
NCT00000120	0.40557098
NCT00000548	0.404442
NCT00000606	0.4038025
NCT00000117	0.40286016
NCT00000576	0.4028136
NCT00000585	0.4002972
NCT00000156	0.39821127
NCT00000133	0.39821127
NCT00000160	0.39209476
NCT00000432	0.39175373
NCT00000580	0.38679126
