rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT00027287	0.5189701	2.5417102	3.0606803	1	True
2	NCT00001460	0.8715445	2.080485	2.9520295	3	True
3	NCT00001402	1.1125782	1.8331667	2.9457449	5	True
4	NCT00001936	0.4172032	2.2837402	2.7009434	2	True
5	NCT00001458	0.61898196	2.0096342	2.6286161	4	True
6	NCT00001895	0.90027875	1.58782	2.4880987	7	True
7	NCT00001628	1.068309	1.3860596	2.4543686	10	True
8	NCT00001886	0.93705237	1.4949537	2.432006	8	False
9	NCT00043628	1.1279519	1.2733575	2.4013094	12	False
10	NCT00001528	1.0946945	1.2769531	2.3716476	11	False
11	NCT00001400	0.43184248	1.6824038	2.1142463	6	False
12	NCT00006071	0.78755814	1.2042725	1.9918306	14	False
13	NCT00000548	0.404442	1.4522881	1.8567301	9	False
14	NCT00001622	0.7044333	1.1116375	1.8160708	15	False
15	NCT00001633	0.53878295	1.2620605	1.8008435	13	False
16	NCT00001313	0.6911216	1.0939542	1.7850758	16	False
17	NCT00006426	0.5046356	0.99072266	1.4953583	17	False
18	NCT00000117	0.40286016	0.87587884	1.278739	18	False
19	NCT00001742	0.65716934	0.60742188	1.2645912	22	False
20	NCT00000133	0.39821127	0.81982422	1.2180355	19	False
21	NCT00000642	0.41623193	0.76367188	1.1799038	20	False
22	NCT00001881	0.43432838	0.70556641	1.1398948	21	False
