rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT00004888	4.0733176	0.47782505	4.5511426	1	1
2	NCT00017394	3.9043705	0.63405067	4.5384212	2	2
3	NCT00005831	3.8125712	0.47182143	4.2843926	3	3
4	NCT00024154	3.8045226	0.38931593	4.1938386	4	4
5	NCT00016094	3.5399412	0.5775949	4.1175361	5	5
6	NCT00029003	3.4634511	0.39935964	3.8628108	6	6
7	NCT00012376	3.2193291	0.41473407	3.6340631	8	7
8	NCT00045201	3.2296017	0.38986605	3.6194678	7	8
9	NCT00015834	3.1507473	0.4133141	3.5640614	9	9
10	NCT00017472	2.9411828	0.5679056	3.5090884	11	10
11	NCT00028535	2.9463086	0.51312315	3.4594317	10	11
12	NCT00003970	2.7609758	0.38619322	3.1471691	12	12
