rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT00004888	0.47782505	4.0733176	4.5511426	1	True
2	NCT00017394	0.63405067	3.9043705	4.5384212	2	True
3	NCT00005831	0.47182143	3.8125712	4.2843926	3	True
4	NCT00024154	0.38931593	3.8045226	4.1938386	4	True
5	NCT00016094	0.5775949	3.5399412	4.1175361	5	True
6	NCT00029003	0.39935964	3.4634511	3.8628108	6	True
7	NCT00012376	0.41473407	3.2193291	3.6340631	8	True
8	NCT00045201	0.38986605	3.2296017	3.6194678	7	True
9	NCT00015834	0.4133141	3.1507473	3.5640614	9	True
10	NCT00017472	0.5679056	2.9411828	3.5090884	11	True
11	NCT00028535	0.51312315	2.9463086	3.4594317	10	True
12	NCT00003970	0.38619322	2.7609758	3.1471691	12	True
13	NCT00003694	0.41047502	2.526062	2.936537	13	False
14	NCT00040846	0.42684993	2.4596121	2.8864621	15	False
15	NCT00041106	0.40045512	2.4725505	2.8730056	14	False
16	NCT00006089	0.78140324	1.8266333	2.6080366	21	False
17	NCT00010192	0.49279413	2.1052612	2.5980554	16	False
18	NCT00006228	0.42368013	2.0638467	2.4875268	18	False
19	NCT00031655	0.39855987	2.0761816	2.4747414	17	False
20	NCT00042809	0.53570074	1.858527	2.3942277	20	False
21	NCT00023764	0.6524501	1.693312	2.3457621	24	False
22	NCT00038402	0.4028573	1.8694661	2.2723234	19	False
23	NCT00039377	0.4048492	1.786431	2.1912802	22	False
24	NCT00045396	0.41108072	1.7514292	2.1625099	23	False
25	NCT00045942	0.42287368	1.6339128	2.0567865	25	False
26	NCT00045305	0.4152708	1.6159671	2.0312379	26	False
27	NCT00003659	0.39878228	1.5624974	1.9612797	27	False
28	NCT00040105	0.41909218	1.4572177	1.8763099	28	False
29	NCT00006363	0.40008616	1.3730925	1.7731786	29	False
30	NCT00002968	0.40032035	1.3148682	1.7151885	30	False
31	NCT00031681	0.41077912	1.2874136	1.6981927	31	False
32	NCT00028756	0.39486334	1.2474609	1.6423243	32	False
33	NCT00027027	0.5752577	0.95458984	1.5298475	33	False
34	NCT00033371	0.7045324	0.72167969	1.4262121	35	False
35	NCT00033514	0.4028573	0.84179688	1.2446542	34	False
36	NCT00034281	0.5520067	0.640625	1.1926317	38	False
37	NCT00038051	0.42182416	0.67679007	1.0986142	36	False
38	NCT00044733	0.4284677	0.65505248	1.0835202	37	False
