rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
104	NCT00001881	0.43432838	0.02942851	0.46375689	99	False
105	NCT00000171	0.3906225	0.053590818	0.44421332	98	False
106	NCT00012818	0.43399322	0	0.43399322		False
107	NCT00005499	0.4291828	0	0.4291828		False
108	NCT00005543	0.42067805	0	0.42067805		False
109	NCT00005351	0.4203146	0	0.4203146		False
110	NCT00000546	0.41915196	0	0.41915196		False
111	NCT00005136	0.41875702	0	0.41875702		False
112	NCT00000506	0.41807938	0	0.41807938		False
113	NCT00000369	0.41447565	0	0.41447565		False
114	NCT00000566	0.40913528	0	0.40913528		False
115	NCT00000577	0.40303808	0	0.40303808		False
116	NCT00000665	0.39059013	0	0.39059013		False
117	NCT00000673	0.39059013	0	0.39059013		False
118	NCT00000726	0.39059013	0	0.39059013		False
