rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT00004888	0.49767256	2.1008491	2.5985217	1	True
2	NCT00016094	0.5404716	1.904021	2.4444926	3	True
3	NCT00012376	0.41473407	1.9432209	2.357955	2	True
4	NCT00005831	0.4704676	1.8464758	2.3169434	4	True
5	NCT00017394	0.63468647	1.5523721	2.1870586	12	True
6	NCT00028535	0.5110585	1.6602261	2.1712846	7	True
7	NCT00006089	0.7739397	1.3778876	2.1518273	14	True
8	NCT00024154	0.3893159	1.7575826	2.1468985	5	True
9	NCT00029003	0.39935964	1.7032476	2.1026072	6	True
10	NCT00003694	0.41047502	1.6096312	2.0201062	9	True
11	NCT00003970	0.38619322	1.6137154	1.9999087	8	True
12	NCT00015834	0.4133141	1.5797197	1.9930338	11	True
13	NCT00045201	0.38986605	1.6000411	1.9899071	10	True
14	NCT00017472	0.5984815	1.3646874	1.9631689	16	True
15	NCT00040105	0.41909218	1.4040008	1.823093	13	True
16	NCT00041106	0.40045512	1.3763144	1.7767696	15	True
17	NCT00023764	0.6561613	1.0899457	1.746107	23	True
18	NCT00010192	0.49074525	1.195843	1.6865883	19	True
19	NCT00031655	0.39855987	1.2786292	1.677189	17	False
20	NCT00045942	0.42287368	1.2038065	1.6266802	18	False
21	NCT00006228	0.4230012	1.1746888	1.59769	20	False
22	NCT00042809	0.5622961	1.0034047	1.5657008	25	False
23	NCT00003659	0.3987823	1.1125657	1.511348	21	False
24	NCT00038402	0.40285733	1.0903683	1.4932256	22	False
25	NCT00033371	0.71283823	0.71844958	1.4312878	32	False
26	NCT00031681	0.4101837	1.0154676	1.4256513	24	False
27	NCT00040846	0.42581013	0.97515432	1.4009644	26	False
28	NCT00043394	0.67314374	0.6492569	1.3224006	35	False
29	NCT00039377	0.4048492	0.91382765	1.3186769	27	False
30	NCT00006363	0.40008616	0.90585241	1.3059386	28	False
31	NCT00045396	0.41108072	0.8746166	1.2856973	29	False
32	NCT00027027	0.57234013	0.66497162	1.2373117	34	False
33	NCT00034281	0.59109557	0.60426232	1.1953579	40	False
34	NCT00027586	0.54652005	0.616722	1.1632421	39	False
35	NCT00004067	0.4844313	0.67704706	1.1614784	33	False
36	NCT00002968	0.4003204	0.75749156	1.157812	30	False
37	NCT00045305	0.4152708	0.72756176	1.1428326	31	False
38	NCT00004163	0.42392233	0.62304115	1.0469635	38	False
39	NCT00028756	0.39486334	0.63935358	1.0342169	36	False
40	NCT00022945	0.4093395	0.603524	1.0128635	41	False
41	NCT00038051	0.42182416	0.58673569	1.0085598	42	False
42	NCT00014235	0.38273495	0.62398638	1.0067213	37	False
43	NCT00008177	0.5481854	0.43469697	0.98288237	50	False
44	NCT00036738	0.4049252	0.55364538	0.95857058	43	False
45	NCT00044733	0.4284677	0.52185089	0.95031859	47	False
46	NCT00033514	0.40285733	0.54152465	0.94438198	44	False
47	NCT00044863	0.39842454	0.52774722	0.92617176	46	False
48	NCT00005799	0.391711	0.52998687	0.92169787	45	False
49	NCT00031278	0.7348598	0.18233857	0.91719837	55	False
50	NCT00045032	0.40285733	0.51234334	0.91520067	48	False
51	NCT00027560	0.4144696	0.47379761	0.88826721	49	False
52	NCT00003145	0.4916492	0.38097971	0.87262891	52	False
53	NCT00003875	0.40670013	0.40568146	0.81238159	51	False
54	NCT00008697	0.3987823	0.3090364	0.7078187	53	False
55	NCT00045435	0.41337055	0.28447937	0.69784992	54	False
