rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT00004888	2.1008491	0.49767256	2.5985217	1	1
2	NCT00016094	1.904021	0.5404716	2.4444926	3	2
3	NCT00012376	1.9432209	0.41473407	2.357955	2	3
4	NCT00005831	1.8464758	0.4704676	2.3169434	4	4
5	NCT00017394	1.5523721	0.63468647	2.1870586	12	5
6	NCT00028535	1.6602261	0.5110585	2.1712846	7	6
7	NCT00006089	1.3778876	0.7739397	2.1518273	14	7
8	NCT00024154	1.7575826	0.3893159	2.1468985	5	8
9	NCT00029003	1.7032476	0.39935964	2.1026072	6	9
10	NCT00003694	1.6096312	0.41047502	2.0201062	9	10
11	NCT00003970	1.6137154	0.38619322	1.9999087	8	11
12	NCT00015834	1.5797197	0.4133141	1.9930338	11	12
13	NCT00045201	1.6000411	0.38986605	1.9899071	10	13
14	NCT00017472	1.3646874	0.5984815	1.9631689	16	14
15	NCT00040105	1.4040008	0.41909218	1.823093	13	15
16	NCT00041106	1.3763144	0.40045512	1.7767696	15	16
17	NCT00023764	1.0899457	0.6561613	1.746107	23	17
18	NCT00010192	1.195843	0.49074525	1.6865883	19	18
